Source of meteodata ;NASA SSE
Periodicity of meteodata;Monthly average
Type of meteodata ;Solar Geometry: Monthly Averaged Sunset Hour Angle (degrees) Average (sunset_h_a)
Longitude;60.02929687499999
Latitude;48.618385186884865
Year;Month;Day;Value
;1;;63.93636304657076765897129209
;2;;75.234526803788525165941411514
;3;;87.83363630465707676589712921
;4;;101
;5;;112.66363695342923234102870791
;6;;118.66363695342923234102870791
;7;;116.66363695342923234102870791
;8;;106
;9;;93.53272739068584646820574158
;10;;80.03454521862830706358851684
;11;;67.602726741913690893074162881
;12;;60.669999351227844424868421299
